,x,lx,qx,dx,Lx,Tx,ex
1,50,92814,"0,00657",610,92509,2496041,"26,89"
1,51,92205,"0,00724",667,91871,2403532,"26,07"
1,52,91537,"0,00797",730,91173,2311661,"25,25"
1,53,90808,"0,00877",796,90410,2220489,"24,45"
1,54,90011,"0,00964",868,89577,2130079,"23,66"
1,55,89143,"0,01059",944,88671,2040502,"22,89"
1,56,88199,"0,01161",1024,87688,1951830,"22,13"
1,57,87176,"0,0127",1107,86622,1864143,"21,38"
1,58,86069,"0,01386",1193,85472,1777521,"20,65"
1,59,84876,"0,01509",1281,84235,1692049,"19,94"
1,60,83594,"0,0164",1371,82909,1607813,"19,23"
1,61,82224,"0,01778",1462,81493,1524904,"18,55"
1,62,80762,"0,01922",1552,79986,1443412,"17,87"
1,63,79210,"0,02073",1642,78389,1363426,"17,21"
1,64,77568,"0,02231",1730,76703,1285037,"16,57"
1,65,75837,"0,02394",1816,74929,1208334,"15,93"
1,66,74022,"0,02565",1898,73072,1133405,"15,31"
1,67,72123,"0,02741",1977,71135,1060333,"14,7"
1,68,70146,"0,02926",2052,69120,989198,"14,1"
1,69,68094,"0,03121",2125,67031,920078,"13,51"
1,70,65969,"0,03329",2196,64871,853047,"12,93"
1,71,63773,"0,03555",2267,62639,788176,"12,36"
1,72,61506,"0,03806",2341,60335,725537,"11,8"
1,73,59165,"0,04086",2418,57956,665201,"11,24"
1,74,56747,"0,04404",2499,55498,607245,"10,7"
1,75,54248,"0,04765",2585,52956,551748,"10,17"
1,76,51663,"0,05174",2673,50326,498792,"9,65"
1,77,48990,"0,05635",2760,47610,448466,"9,15"
1,78,46229,"0,06148",2842,44808,400856,"8,67"
1,79,43387,"0,06715",2913,41930,356048,"8,21"
1,80,40474,"0,07332",2968,38990,314117,"7,76"
1,81,37506,"0,07999",3000,36006,275127,"7,34"
1,82,34506,"0,08713",3007,33003,239121,"6,93"
1,83,31499,"0,09474",2984,30007,206119,"6,54"
1,84,28515,"0,1028",2931,27049,176111,"6,18"
1,85,25584,"0,11135",2849,24159,149062,"5,83"
1,86,22735,"0,12041",2738,21366,124903,"5,49"
1,87,19998,"0,13001",2600,18698,103536,"5,18"
1,88,17398,"0,14024",2440,16178,84839,"4,88"
1,89,14958,"0,15116",2261,13827,68661,"4,59"
1,90,12697,"0,16272",2066,11664,54834,"4,32"
1,91,10631,"0,17525",1863,9699,43170,"4,06"
1,92,8768,"0,18851",1653,7941,33471,"3,82"
1,93,7115,"0,2025",1441,6395,25530,"3,59"
1,94,5674,"0,21722",1233,5058,19135,"3,37"
1,95,4442,"0,23268",1033,3925,14077,"3,17"
1,96,3408,"0,24886",848,2984,10152,"2,98"
1,97,2560,"0,26575",680,2220,7168,"2,8"
1,98,1880,"0,28334",533,1613,4948,"2,63"
1,99,1347,"0,30162",406,1144,3335,"2,48"
1,100,941,"0,32054",302,790,2191,"2,33"
